index,title_raw,abstract_raw,title_clean,abstract_clean,mediphi_temp_0.5
93,Adaptive Adolescent Flexibility: Neurodevelopment of Decision-making and Learning in a Risky Context,"<jats:title>Abstract</jats:title><jats:p>Research on adolescence has largely focused on the particular biological and neural changes that place teens at risk for negative outcomes linked to increases in sensation-seeking and risky behavior. However, there is a growing interest in the adaptive function of adolescence, with work highlighting the dual nature of adolescence as a period of potential risk and opportunity. We examined how behavioral and neural sensitivity to risk and reward varies as a function of age using the Balloon Analog Risk Task. Seventy-seven children and adolescents (ages 8–17 years) completed the Balloon Analog Risk Task during an fMRI session. Results indicate that adolescents show greater learning throughout the task. Furthermore, older participants showed increased neural responses to reward in the OFC and ventral striatum, increased activation to risk in the mid-cingulate cortex, as well as increased functional OFC–medial PFC coupling in both risk and reward contexts. Age-related changes in regional activity and interregional connectivity explain the link between age and increases in flexible learning. These results support the idea that adolescents' sensitivity to risk and reward supports adaptive learning and behavioral approaches for reward acquisition.</jats:p>",Adaptive Adolescent Flexibility: Neurodevelopment of Decision-making and Learning in a Risky Context,"Abstract Research on adolescence has largely focused on the particular biological and neural changes that place teens at risk for negative outcomes linked to increases in sensation-seeking and risky behavior. However, there is a growing interest in the adaptive function of adolescence, with work highlighting the dual nature of adolescence as a period of potential risk and opportunity. We examined how behavioral and neural sensitivity to risk and reward varies as a function of age using the Balloon Analog Risk Task. Seventy-seven children and adolescents (ages 8–17 years) completed the Balloon Analog Risk Task during an fMRI session. Results indicate that adolescents show greater learning throughout the task. Furthermore, older participants showed increased neural responses to reward in the OFC and ventral striatum, increased activation to risk in the mid-cingulate cortex, as well as increased functional OFC–medial PFC coupling in both risk and reward contexts. Age-related changes in regional activity and interregional connectivity explain the link between age and increases in flexible learning. These results support the idea that adolescents' sensitivity to risk and reward supports adaptive learning and behavioral approaches for reward acquisition.","""Behavioral"
95,Amplified Striatal Responses to Near-Miss Outcomes in Pathological Gamblers,,Amplified Striatal Responses to Near-Miss Outcomes in Pathological Gamblers,,"understanding, principles, mechanisms, cognition, brain, gamblers, cognitive game, neural mechanisms, brain"
97,Contributions of default mode network stability and deactivation to adolescent task engagement,"<jats:title>Abstract</jats:title><jats:p>Out of the several intrinsic brain networks discovered through resting-state functional analyses in the past decade, the default mode network (DMN) has been the subject of intense interest and study. In particular, the DMN shows marked suppression during task engagement, and has led to hypothesized roles in internally-directed cognition that need to be down-regulated in order to perform goal-directed behaviors. Previous work has largely focused on univariate deactivation as the mechanism of DMN suppression. However, given the transient nature of DMN down-regulation during task, an important question arises: Does the DMN need to be <jats:italic>strongly</jats:italic>, or more <jats:italic>stably</jats:italic> suppressed to promote successful task learning? In order to explore this question, 65 adolescents (M<jats:sub>age</jats:sub> = 13.32; 21 females) completed a risky decision-making task during an fMRI scan. We tested our primary question by examining individual differences in absolute level of deactivation against the stability of activation across time in predicting levels of feedback learning on the task. To measure stability, we utilized a model-based functional connectivity approach that estimates the stability of activation across time <jats:italic>within</jats:italic> a region. In line with our hypothesis, the stability of activation in default mode regions predicted task engagement over and above the absolute level of DMN deactivation, revealing a new mechanism by which the brain can suppress the influence of brain networks on behavior. These results also highlight the importance of adopting model-based network approaches to understand the functional dynamics of the brain.</jats:p>",Contributions of default mode network stability and deactivation to adolescent task engagement,"Abstract Out of the several intrinsic brain networks discovered through resting-state functional analyses in the past decade, the default mode network (DMN) has been the subject of intense interest and study. In particular, the DMN shows marked suppression during task engagement, and has led to hypothesized roles in internally-directed cognition that need to be down-regulated in order to perform goal-directed behaviors. Previous work has largely focused on univariate deactivation as the mechanism of DMN suppression. However, given the transient nature of DMN down-regulation during task, an important question arises: Does the DMN need to be strongly , or more stably suppressed to promote successful task learning? In order to explore this question, 65 adolescents (M age = 13.32; 21 females) completed a risky decision-making task during an fMRI scan. We tested our primary question by examining individual differences in absolute level of deactivation against the stability of activation across time in predicting levels of feedback learning on the task. To measure stability, we utilized a model-based functional connectivity approach that estimates the stability of activation across time within a region. In line with our hypothesis, the stability of activation in default mode regions predicted task engagement over and above the absolute level of DMN deactivation, revealing a new mechanism by which the brain can suppress the influence of brain networks on behavior. These results also highlight the importance of adopting model-based network approaches to understand the functional dynamics of the brain.","understanding, principles, mechanisms, cognition, adolescent, task engagement, default mode network, stability, deactivation, moderation, activation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation, moderation"
98,Adolescent neurodevelopment of cognitive control and risk-taking in negative family contexts,,Adolescent neurodevelopment of cognitive control and risk-taking in negative family contexts,,"Cognitive control and risk-taking: This term refers to the study of how brain networks, including those involved in cognitive control and"
102,Decreasing Ventromedial Prefrontal Cortex Activity During Sequential Risk-Taking: An fMRI Investigation of the Balloon Analog Risk Task,,Decreasing Ventromedial Prefrontal Cortex Activity During Sequential Risk-Taking: An fMRI Investigation of the Balloon Analog Risk Task,,"More importantly, I do not want a summary of the title/abstract i want a list of words that are essential for each title and abstract."
105,Modulation of competing memory systems by distraction,"<jats:p>
            Different forms of learning and memory depend on functionally and anatomically separable neural circuits [Squire, L. R. (1992)
            <jats:italic>Psychol. Rev.</jats:italic>
            99, 195–231]. Declarative memory relies on a medial temporal lobe system, whereas habit learning relies on the striatum [Cohen, N. J. &amp; Eichenbaum, H. (1993)
            <jats:italic>Memory, Amnesia, and the Hippocampal System</jats:italic>
            (MIT Press, Cambridge, MA)]. How these systems are engaged to optimize learning and behavior is not clear. Here, we present results from functional neuroimaging showing that the presence of a demanding secondary task during learning modulates the degree to which subjects solve a problem using either declarative memory or habit learning. Dual-task conditions did not reduce accuracy but reduced the amount of declarative learning about the task. Medial temporal lobe activity was correlated with task performance and declarative knowledge after learning under single-task conditions, whereas performance was correlated with striatal activity after dual-task learning conditions. These results demonstrate a fundamental difference in these memory systems in their sensitivity to concurrent distraction. The results are consistent with the notion that declarative and habit learning compete to mediate task performance, and they suggest that the presence of distraction can bias this competition. These results have implications for learning in multitask situations, suggesting that, even if distraction does not decrease the overall level of learning, it can result in the acquisition of knowledge that can be applied less flexibly in new situations.
          </jats:p>",Modulation of competing memory systems by distraction,"Different forms of learning and memory depend on functionally and anatomically separable neural circuits [Squire, L. R. (1992) Psychol. Rev. 99, 195–231]. Declarative memory relies on a medial temporal lobe system, whereas habit learning relies on the striatum [Cohen, N. J. &amp; Eichenbaum, H. (1993) Memory, Amnesia, and the Hippocampal System (MIT Press, Cambridge, MA)]. How these systems are engaged to optimize learning and behavior is not clear. Here, we present results from functional neuroimaging showing that the presence of a demanding secondary task during learning modulates the degree to which subjects solve a problem using either declarative memory or habit learning. Dual-task conditions did not reduce accuracy but reduced the amount of declarative learning about the task. Medial temporal lobe activity was correlated with task performance and declarative knowledge after learning under single-task conditions, whereas performance was correlated with striatal activity after dual-task learning conditions. These results demonstrate a fundamental difference in these memory systems in their sensitivity to concurrent distraction. The results are consistent with the notion that declarative and habit learning compete to mediate task performance, and they suggest that the presence of distraction can bias this competition. These results have implications for learning in multitask situations, suggesting that, even if distraction does not decrease the overall level of learning, it can result in the acquisition of knowledge that can be applied less flexibly in new situations.","understanding, principles, mechanisms, cognition, distraction, dual-task, learning, memory, declarative, habit, declarative knowledge, task performance, striatum, neural circuits, interhemispheric communication, brain structure, brain areas, social systems, spatial memory, spatial learning, spatial reasoning, spatial learning, spatial learning, spatial memory, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning, spatial learning"
107,A structural and functional magnetic resonance imaging dataset of brain tumour patients,"<jats:title>Abstract</jats:title><jats:p>We collected high resolution structural (T1, T2, DWI) and several functional (BOLD T2*) MRI data in 22 patients with different types of brain tumours. Functional imaging protocols included a motor task, a verb generation task, a word repetition task and resting state. Imaging data are complemented by demographics (age, sex, handedness, and pathology), behavioural results to motor and cognitive tests and direct cortical electrical stimulation data (pictures of stimulation sites with outcomes) performed during surgery. Altogether, these data are suited to test functional imaging methods for single subject analyses, in particular methods that focus on locating eloquent cortical areas, critical functional and/or structural network hubs, and predict patient status based on imaging data (presurgical mapping).</jats:p>",A structural and functional magnetic resonance imaging dataset of brain tumour patients,"Abstract We collected high resolution structural (T1, T2, DWI) and several functional (BOLD T2*) MRI data in 22 patients with different types of brain tumours. Functional imaging protocols included a motor task, a verb generation task, a word repetition task and resting state. Imaging data are complemented by demographics (age, sex, handedness, and pathology), behavioural results to motor and cognitive tests and direct cortical electrical stimulation data (pictures of stimulation sites with outcomes) performed during surgery. Altogether, these data are suited to test functional imaging methods for single subject analyses, in particular methods that focus on locating eloquent cortical areas, critical functional and/or structural network hubs, and predict patient status based on imaging data (presurgical mapping).","Example: example_title:Network neuroscience example_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of"
108,Multiple brain networks contribute to the acquisition of bias in perceptual decision-making,,Multiple brain networks contribute to the acquisition of bias in perceptual decision-making,,The process of cognitive
110,Brain mechanisms underlying cue-based memorizing during free viewing of movie Memento,,Brain mechanisms underlying cue-based memorizing during free viewing of movie Memento,,"cuing, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms, mechanisms"
111,Peri-hand space representation in the absence of a hand – Evidence from congenital one-handers,,Peri-hand space representation in the absence of a hand – Evidence from congenital one-handers,,"""Spatiotemporal"""
112,Not just social sensitivity: Adolescent neural suppression of social feedback during risk taking,,Not just social sensitivity: Adolescent neural suppression of social feedback during risk taking,,"item1,"
114,Higher Heart-Rate Variability Is Associated with Ventromedial Prefrontal Cortex Activity and Increased Resistance to Temptation in Dietary Self-Control Challenges,"<jats:p>Higher levels of self-control in decision making have been linked to better psychosocial and physical health. A similar link to health outcomes has been reported for heart-rate variability (HRV), a marker of physiological flexibility. Here, we sought to link these two, largely separate, research domains by testing the hypothesis that greater HRV would be associated with better dietary self-control in humans. Specifically, we examined whether total HRV at sedentary rest (measured as the SD of normal-to-normal intervals) can serve as a biomarker for the neurophysiological adaptability that putatively underlies self-controlled behavior. We found that HRV explained a significant portion of the individual variability in dietary self-control, with individuals having higher HRV being better able to downregulate their cravings in the face of taste temptations. Furthermore, HRV was associated with activity patterns in the ventromedial prefrontal cortex (vmPFC), a key node in the brain's valuation and decision circuitry. Specifically, individuals with higher HRV showed both higher overall vmPFC blood-oxygen-level-dependent activity and attenuated taste representations when presented with a dietary self-control challenge. Last, the behavioral and neural associations with HRV were consistent across both our stress induction and control experimental conditions. The stability of this association across experimental conditions suggests that HRV may serve as both a readily obtainable and robust biomarker for self-control ability across environmental contexts.</jats:p><jats:p><jats:bold>SIGNIFICANCE STATEMENT</jats:bold>Self-control is associated with better health, but behavioral and psychometric self-control measures allow only indirect associations with health outcomes and may be distorted by reporting bias. We tested whether resting heart-rate variability (HRV), a physiological indicator of psychological and physical health, can predict individual differences in dietary self-control in humans. We found that higher HRV was associated with better self-control and improved predictions of choice behavior. Specifically, higher HRV was associated with more effective downregulation of taste temptations, and with a diminished neural representation of taste temptations during self-control challenges. Our results suggest that HRV may serve as an easily acquired, noninvasive, and low-cost biomarker for self-control ability.</jats:p>",Higher Heart-Rate Variability Is Associated with Ventromedial Prefrontal Cortex Activity and Increased Resistance to Temptation in Dietary Self-Control Challenges,"Higher levels of self-control in decision making have been linked to better psychosocial and physical health. A similar link to health outcomes has been reported for heart-rate variability (HRV), a marker of physiological flexibility. Here, we sought to link these two, largely separate, research domains by testing the hypothesis that greater HRV would be associated with better dietary self-control in humans. Specifically, we examined whether total HRV at sedentary rest (measured as the SD of normal-to-normal intervals) can serve as a biomarker for the neurophysiological adaptability that putatively underlies self-controlled behavior. We found that HRV explained a significant portion of the individual variability in dietary self-control, with individuals having higher HRV being better able to downregulate their cravings in the face of taste temptations. Furthermore, HRV was associated with activity patterns in the ventromedial prefrontal cortex (vmPFC), a key node in the brain's valuation and decision circuitry. Specifically, individuals with higher HRV showed both higher overall vmPFC blood-oxygen-level-dependent activity and attenuated taste representations when presented with a dietary self-control challenge. Last, the behavioral and neural associations with HRV were consistent across both our stress induction and control experimental conditions. The stability of this association across experimental conditions suggests that HRV may serve as both a readily obtainable and robust biomarker for self-control ability across environmental contexts. SIGNIFICANCE STATEMENT Self-control is associated with better health, but behavioral and psychometric self-control measures allow only indirect associations with health outcomes and may be distorted by reporting bias. We tested whether resting heart-rate variability (HRV), a physiological indicator of psychological and physical health, can predict individual differences in dietary self-control in humans. We found that higher HRV was associated with better self-control and improved predictions of choice behavior. Specifically, higher HRV was associated with more effective downregulation of taste temptations, and with a diminished neural representation of taste temptations during self-control challenges. Our results suggest that HRV may serve as an easily acquired, noninvasive, and low-cost biomarker for self-control ability.",HRV Is Associated with Higher Levels of Self-Control In Decision Making
115,Empathic Care and Distress: Predictive Brain Markers and Dissociable Brain Systems,,Empathic Care and Distress: Predictive Brain Markers and Dissociable Brain Systems,,"Example: example_title:Network neuroscience example_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of"
116,Brain imaging of chill reactions to pleasant and unpleasant sounds,,Brain imaging of chill reactions to pleasant and unpleasant sounds,,These terms are related to the title because they are essential for the title to be relevant to the abstract.
117,The Neurofunctional Basis of Affective Startle Modulation in Humans: Evidence From Combined Facial Electromyography and Functional Magnetic Resonance Imaging,,The Neurofunctional Basis of Affective Startle Modulation in Humans: Evidence From Combined Facial Electromyography and Functional Magnetic Resonance Imaging,,"""The Neurofunctional Basis of Affective Startle Modulation in Humans: Evidence From Combined Facial Electromy"
118,Neural correlates of the LSD experience revealed by multimodal neuroimaging,"<jats:title>Significance</jats:title><jats:p>Lysergic acid diethylamide (LSD), the prototypical “psychedelic,” may be unique among psychoactive substances. In the decades that followed its discovery, the magnitude of its effect on science, the arts, and society was unprecedented. LSD produces profound, sometimes life-changing experiences in microgram doses, making it a particularly powerful scientific tool. Here we sought to examine its effects on brain activity, using cutting-edge and complementary neuroimaging techniques in the first modern neuroimaging study of LSD. Results revealed marked changes in brain blood flow, electrical activity, and network communication patterns that correlated strongly with the drug’s hallucinatory and other consciousness-altering properties. These results have implications for the neurobiology of consciousness and for potential applications of LSD in psychological research.</jats:p>",Neural correlates of the LSD experience revealed by multimodal neuroimaging,"Significance Lysergic acid diethylamide (LSD), the prototypical “psychedelic,” may be unique among psychoactive substances. In the decades that followed its discovery, the magnitude of its effect on science, the arts, and society was unprecedented. LSD produces profound, sometimes life-changing experiences in microgram doses, making it a particularly powerful scientific tool. Here we sought to examine its effects on brain activity, using cutting-edge and complementary neuroimaging techniques in the first modern neuroimaging study of LSD. Results revealed marked changes in brain blood flow, electrical activity, and network communication patterns that correlated strongly with the drug’s hallucinatory and other consciousness-altering properties. These results have implications for the neurobiology of consciousness and for potential applications of LSD in psychological research.","understanding, principles, mechanisms, cognition, brain activity, microgram doses, LSD, prototypical, psychedelic, brain blood flow, electrical activity, network communication patterns, hallucinations, consciousness-altering properties, neurobiology of consciousness, psychological research, applications of LSD in psychological research."
119,Activation in Context: Differential Conclusions Drawn from Cross-Sectional and Longitudinal Analyses of Adolescents’ Cognitive Control-Related Neural Activity,,Activation in Context: Differential Conclusions Drawn from Cross-Sectional and Longitudinal Analyses of Adolescents’ Cognitive Control-Related Neural Activity,,5. **Cognitive Activity**: This term is important as
122,The hierarchical organization of the lateral prefrontal cortex,"<jats:p>Higher-level cognition depends on the lateral prefrontal cortex (LPFC), but its functional organization has remained elusive. An influential proposal is that the LPFC is organized hierarchically whereby progressively rostral areas of the LPFC process/represent increasingly abstract information facilitating efficient and flexible cognition. However, support for this theory has been limited. Here, human fMRI data revealed rostral/caudal gradients of abstraction in the LPFC. Dynamic causal modeling revealed asymmetrical LPFC interactions indicative of hierarchical processing. Contrary to dominant assumptions, the relative strength of efferent versus afferent connections positioned mid LPFC as the apex of the hierarchy. Furthermore, cognitive demands induced connectivity modulations towards mid LPFC consistent with a role in integrating information for control operations. Moreover, the strengths of these dynamics were related to trait-measured higher-level cognitive ability. Collectively, these results suggest that the LPFC is hierarchically organized with the mid LPFC positioned to synthesize abstract and concrete information to control behavior.</jats:p>",The hierarchical organization of the lateral prefrontal cortex,"Higher-level cognition depends on the lateral prefrontal cortex (LPFC), but its functional organization has remained elusive. An influential proposal is that the LPFC is organized hierarchically whereby progressively rostral areas of the LPFC process/represent increasingly abstract information facilitating efficient and flexible cognition. However, support for this theory has been limited. Here, human fMRI data revealed rostral/caudal gradients of abstraction in the LPFC. Dynamic causal modeling revealed asymmetrical LPFC interactions indicative of hierarchical processing. Contrary to dominant assumptions, the relative strength of efferent versus afferent connections positioned mid LPFC as the apex of the hierarchy. Furthermore, cognitive demands induced connectivity modulations towards mid LPFC consistent with a role in integrating information for control operations. Moreover, the strengths of these dynamics were related to trait-measured higher-level cognitive ability. Collectively, these results suggest that the LPFC is hierarchically organized with the mid LPFC positioned to synthesize abstract and concrete information to control behavior.","ABSTRACT: Higher-level cognition depends on the lateral prefrontal cortex (LPFC), but its functional organization has remained elusive. An influential proposal is that the LPFC is organized hierarchically whereby progressively rostral areas of the LPFC process/represent progressively abstract information facilitating efficient and flexible cognition. However, support for this theory has been limited. Here, human fMRI data revealed rostral/caudal gradients of abstraction in the LPFC. Dynamic causal modeling revealed asymmetrical LPFC interactions indicative of"
123,The neural basis of understanding the expression of the emotions in man and animals,,The neural basis of understanding the expression of the emotions in man and animals,,"These keywords are essential for the title and abstract, as they provide a clear understanding of the main topic and provide a foundation for the paper."
124,Intrinsic brain connectivity after partial sleep deprivation in young and older adults: results from the Stockholm Sleepy Brain study,"<jats:title>Abstract</jats:title><jats:p>Sleep deprivation has been reported to affect intrinsic brain connectivity, notably reducing connectivity in the default mode network. Studies to date have however shown inconsistent effects, in many cases lacked monitoring of wakefulness, and largely included young participants. We investigated effects of sleep deprivation on intrinsic brain connectivity in young and older participants. Participants aged 20–30 (final <jats:italic>n</jats:italic> = 30) and 65–75 (final <jats:italic>n</jats:italic> = 23) years underwent partial sleep deprivation (3 h sleep) in a cross-over design, with two 8-minutes eyes-open resting state functional magnetic resonance imaging (fMRI) runs in each session, monitored by eye-tracking. We assessed intrinsic brain connectivity using independent components analysis (ICA) as well as seed-region analyses of functional connectivity, and also analysed global signal variability, regional homogeneity, and the amplitude of low-frequency fluctuations. Sleep deprivation caused increased global signal variability. Changes in investigated resting state networks and in regional homogeneity were not statistically significant. Younger participants had higher connectivity in most examined networks, as well as higher regional homogeneity in areas including anterior and posterior cingulate cortex. In conclusion, we found that sleep deprivation caused increased global signal variability, and we speculate that this may be caused by wake-state instability.</jats:p>",Intrinsic brain connectivity after partial sleep deprivation in young and older adults: results from the Stockholm Sleepy Brain study,"Abstract Sleep deprivation has been reported to affect intrinsic brain connectivity, notably reducing connectivity in the default mode network. Studies to date have however shown inconsistent effects, in many cases lacked monitoring of wakefulness, and largely included young participants. We investigated effects of sleep deprivation on intrinsic brain connectivity in young and older participants. Participants aged 20–30 (final n = 30) and 65–75 (final n = 23) years underwent partial sleep deprivation (3 h sleep) in a cross-over design, with two 8-minutes eyes-open resting state functional magnetic resonance imaging (fMRI) runs in each session, monitored by eye-tracking. We assessed intrinsic brain connectivity using independent components analysis (ICA) as well as seed-region analyses of functional connectivity, and also analysed global signal variability, regional homogeneity, and the amplitude of low-frequency fluctuations. Sleep deprivation caused increased global signal variability. Changes in investigated resting state networks and in regional homogeneity were not statistically significant. Younger participants had higher connectivity in most examined networks, as well as higher regional homogeneity in areas including anterior and posterior cingulate cortex. In conclusion, we found that sleep deprivation caused increased global signal variability, and we speculate that this may be caused by wake-state instability.",Inner brain connectivity
126,Financial gain‐ and loss‐related <scp>BOLD</scp> signals in the human ventral tegmental area and substantia nigra pars compacta,"<jats:title>Abstract</jats:title><jats:p>Neurons in the ventral tegmental area (<jats:styled-content style=""fixed-case"">VTA</jats:styled-content>) and substantia nigra pars compacta (<jats:styled-content style=""fixed-case"">SNC</jats:styled-content>) play central roles in reward‐related behaviours. Nonhuman animal studies suggest that these neurons also process aversive events. However, our understanding of how the human <jats:styled-content style=""fixed-case"">VTA</jats:styled-content> and <jats:styled-content style=""fixed-case"">SNC</jats:styled-content> responds to such events is limited and has been hindered by the technical challenge of using functional magnetic resonance imaging (<jats:styled-content style=""fixed-case"">fMRI</jats:styled-content>) to investigate a small structure where the signal is particularly vulnerable to physiological noise. Here we show, using methods optimized specifically for the midbrain (including high‐resolution imaging, a novel registration protocol, and physiological noise modelling), a <jats:styled-content style=""fixed-case"">BOLD</jats:styled-content> (blood‐oxygen‐level dependent) signal to both financial gain and loss in the <jats:styled-content style=""fixed-case"">VTA</jats:styled-content> and <jats:styled-content style=""fixed-case"">SNC</jats:styled-content>, along with a response to nil outcomes that are better or worse than expected in the <jats:styled-content style=""fixed-case"">VTA</jats:styled-content>. Taken together, these findings suggest that the human <jats:styled-content style=""fixed-case"">VTA</jats:styled-content> and <jats:styled-content style=""fixed-case"">SNC</jats:styled-content> are involved in the processing of both appetitive and aversive financial outcomes in humans.</jats:p>",Financial gain‐ and loss‐related BOLD signals in the human ventral tegmental area and substantia nigra pars compacta,"Abstract Neurons in the ventral tegmental area ( VTA ) and substantia nigra pars compacta ( SNC ) play central roles in reward‐related behaviours. Nonhuman animal studies suggest that these neurons also process aversive events. However, our understanding of how the human VTA and SNC responds to such events is limited and has been hindered by the technical challenge of using functional magnetic resonance imaging ( fMRI ) to investigate a small structure where the signal is particularly vulnerable to physiological noise. Here we show, using methods optimized specifically for the midbrain (including high‐resolution imaging, a novel registration protocol, and physiological noise modelling), a BOLD (blood‐oxygen‐level dependent) signal to both financial gain and loss in the VTA and SNC , along with a response to nil outcomes that are better or worse than expected in the VTA . Taken together, these findings suggest that the human VTA and SNC are involved in the processing of both appetitive and aversive financial outcomes in humans.",Brain structure
129,Corticostriatal connectivity is associated with the reduction of intergroup bias and greater impartial giving in youth,,Corticostriatal connectivity is associated with the reduction of intergroup bias and greater impartial giving in youth,,"More importantly, I do not want a summary of the title/abstract i want a list of words that are essential for each title and abstract."
139,Being asked to tell an unpleasant truth about another person activates anterior insula and medial prefrontal cortex,,Being asked to tell an unpleasant truth about another person activates anterior insula and medial prefrontal cortex,,"Example: example_title:Network neuroscience example_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two"
140,Distinct Reward Properties are Encoded via Corticostriatal Interactions,"<jats:title>Abstract</jats:title><jats:p>The striatum serves as a critical brain region for reward processing. Yet, understanding the link between striatum and reward presents a challenge because rewards are composed of multiple properties. Notably, affective properties modulate emotion while informative properties help obtain future rewards. We approached this problem by emphasizing affective and informative reward properties within two independent guessing games. We found that both reward properties evoked activation within the nucleus accumbens, a subregion of the striatum. Striatal responses to informative, but not affective, reward properties predicted subsequent utilization of information for obtaining monetary reward. We hypothesized that activation of the striatum may be necessary but not sufficient to encode distinct reward properties. To investigate this possibility, we examined whether affective and informative reward properties were differentially encoded in corticostriatal interactions. Strikingly, we found that the striatum exhibited dissociable connectivity patterns with the ventrolateral prefrontal cortex, with increasing connectivity for affective reward properties and decreasing connectivity for informative reward properties. Our results demonstrate that affective and informative reward properties are encoded via corticostriatal interactions. These findings highlight how corticostriatal systems contribute to reward processing, potentially advancing models linking striatal activation to behavior.</jats:p>",Distinct Reward Properties are Encoded via Corticostriatal Interactions,"Abstract The striatum serves as a critical brain region for reward processing. Yet, understanding the link between striatum and reward presents a challenge because rewards are composed of multiple properties. Notably, affective properties modulate emotion while informative properties help obtain future rewards. We approached this problem by emphasizing affective and informative reward properties within two independent guessing games. We found that both reward properties evoked activation within the nucleus accumbens, a subregion of the striatum. Striatal responses to informative, but not affective, reward properties predicted subsequent utilization of information for obtaining monetary reward. We hypothesized that activation of the striatum may be necessary but not sufficient to encode distinct reward properties. To investigate this possibility, we examined whether affective and informative reward properties were differentially encoded in corticostriatal interactions. Strikingly, we found that the striatum exhibited dissociable connectivity patterns with the ventrolateral prefrontal cortex, with increasing connectivity for affective reward properties and decreasing connectivity for informative reward properties. Our results demonstrate that affective and informative reward properties are encoded via corticostriatal interactions. These findings highlight how corticostriatal systems contribute to reward processing, potentially advancing models linking striatal activation to behavior.",6. **Neuroscience**: A summary
141,Insular atrophy at the prodromal stage of dementia with Lewy bodies: a VBM DARTEL study,"<jats:title>Abstract</jats:title><jats:p>Diffuse atrophy including the insula was previously demonstrated in dementia with Lewy bodies (DLB) patients but little is known about the prodromal stage of DLB (pro-DLB). In this prospective study, we used SPM8-DARTEL to measure gray matter (GM) and white matter (WM) atrophy in pro-DLB patients (n = 54), prodromal Alzheimer’s disease (pro-AD) patients (n = 16), DLB patients at the stage of dementia (mild-DLB) (n = 15), and Alzheimer’s disease patients at the stage of dementia (mild-AD) (n = 28), and compared them with healthy elderly controls (HC, n = 22). Diminished GM volumes were found in bilateral insula in pro-DLB patients, a trend to significance in right hippocampus and parahippocampal gyrus in pro-AD patients, in left insula in mild-DLB patients, and in medial temporal lobes and insula in mild-AD patients. The comparison between prodromal groups did not showed any differences. The comparison between groups with dementia revealed atrophy around the left middle temporal gyrus in mild-AD patients. Reduced WM volume was observed in mild-DLB in the pons. The insula seems to be a key region in DLB as early as the prodromal stage. MRI studies looking at perfusion, and functional and anatomical connectivity are now needed to better understand the role of this region in DLB.</jats:p>",Insular atrophy at the prodromal stage of dementia with Lewy bodies: a VBM DARTEL study,"Abstract Diffuse atrophy including the insula was previously demonstrated in dementia with Lewy bodies (DLB) patients but little is known about the prodromal stage of DLB (pro-DLB). In this prospective study, we used SPM8-DARTEL to measure gray matter (GM) and white matter (WM) atrophy in pro-DLB patients (n = 54), prodromal Alzheimer’s disease (pro-AD) patients (n = 16), DLB patients at the stage of dementia (mild-DLB) (n = 15), and Alzheimer’s disease patients at the stage of dementia (mild-AD) (n = 28), and compared them with healthy elderly controls (HC, n = 22). Diminished GM volumes were found in bilateral insula in pro-DLB patients, a trend to significance in right hippocampus and parahippocampal gyrus in pro-AD patients, in left insula in mild-DLB patients, and in medial temporal lobes and insula in mild-AD patients. The comparison between prodromal groups did not showed any differences. The comparison between groups with dementia revealed atrophy around the left middle temporal gyrus in mild-AD patients. Reduced WM volume was observed in mild-DLB in the pons. The insula seems to be a key region in DLB as early as the prodromal stage. MRI studies looking at perfusion, and functional and anatomical connectivity are now needed to better understand the role of this region in DLB.","understanding, principles, mechanisms, cognition, prodromal stage, prodromal Alzheimer's disease, DLB, pro-DLB, pro-AD, prodromal Alzheimer's disease, DLB patients, mild-DLB, mild-AD, pro-DLB patients, pro-AD patients, prodromal Alzheimer's disease, pro-AD patients, prodromal Alzheimer's disease, DLB patients, mild-DLB, mild-AD, pro-DLB patients, pro-AD patients, prodromal"
